,resultId,driverId,grid,positionOrder,points,fastestLap,fastestLapTime,fastestLapSpeed,statusId,surname,status,year,grandPrix,constructor,nationality
0,1,1,1,1,10.0,39.0,01:27.5,218.3,1,Hamilton,Finished,2008,Australian Grand Prix,McLaren,British
1,5,5,3,5,4.0,43.0,01:27.4,218.385,1,Kovalainen,Finished,2008,Australian Grand Prix,McLaren,British
2,27,1,9,5,4.0,53.0,01:35.5,209.033,1,Hamilton,Finished,2008,Malaysian Grand Prix,McLaren,British
3,25,5,8,3,6.0,19.0,01:35.9,208.031,1,Kovalainen,Finished,2008,Malaysian Grand Prix,McLaren,British
4,69,1,5,3,6.0,20.0,01:22.0,204.323,1,Hamilton,Finished,2008,Spanish Grand Prix,McLaren,British
5,90,1,3,2,8.0,31.0,01:26.5,222.085,1,Hamilton,Finished,2008,Turkish Grand Prix,McLaren,British
6,109,1,3,1,10.0,71.0,01:18.5,153.152,1,Hamilton,Finished,2008,Monaco Grand Prix,McLaren,British
7,116,5,4,8,1.0,74.0,01:17.3,155.586,1,Kovalainen,Finished,2008,Monaco Grand Prix,McLaren,British
8,158,1,13,10,0.0,40.0,01:17.5,205.022,1,Hamilton,Finished,2008,French Grand Prix,McLaren,British
9,152,5,10,4,5.0,46.0,01:17.1,205.87,1,Kovalainen,Finished,2008,French Grand Prix,McLaren,British
10,169,1,4,1,10.0,16.0,01:32.8,199.398,1,Hamilton,Finished,2008,British Grand Prix,McLaren,British
11,189,1,1,1,10.0,17.0,01:16.0,216.552,1,Hamilton,Finished,2008,German Grand Prix,McLaren,British
12,193,5,3,5,4.0,63.0,01:16.5,215.261,1,Kovalainen,Finished,2008,German Grand Prix,McLaren,British
13,213,1,1,5,4.0,15.0,01:21.5,193.533,1,Hamilton,Finished,2008,Hungarian Grand Prix,McLaren,British
14,209,5,2,1,10.0,19.0,01:21.8,192.917,1,Kovalainen,Finished,2008,Hungarian Grand Prix,McLaren,British
15,230,1,2,2,8.0,16.0,01:38.9,197.285,1,Hamilton,Finished,2008,European Grand Prix,McLaren,British
16,232,5,5,4,5.0,19.0,01:39.1,196.831,1,Kovalainen,Finished,2008,European Grand Prix,McLaren,British
17,251,1,1,3,6.0,20.0,01:48.1,233.175,1,Hamilton,Finished,2008,Belgian Grand Prix,McLaren,British
18,275,1,15,7,2.0,52.0,01:29.7,232.44,1,Hamilton,Finished,2008,Italian Grand Prix,McLaren,British
19,270,5,2,2,8.0,53.0,01:30.3,230.95,1,Kovalainen,Finished,2008,Italian Grand Prix,McLaren,British
20,291,1,2,3,6.0,14.0,01:46.1,171.969,1,Hamilton,Finished,2008,Singapore Grand Prix,McLaren,British
21,298,5,5,10,0.0,14.0,01:47.3,169.943,1,Kovalainen,Finished,2008,Singapore Grand Prix,McLaren,British
22,320,1,1,12,0.0,65.0,01:19.6,206.47,1,Hamilton,Finished,2008,Japanese Grand Prix,McLaren,British
23,329,1,1,1,10.0,13.0,01:36.3,203.722,1,Hamilton,Finished,2008,Chinese Grand Prix,McLaren,British
24,353,1,4,5,4.0,31.0,01:14.2,209.177,1,Hamilton,Finished,2008,Brazilian Grand Prix,McLaren,British
25,355,5,5,7,2.0,36.0,01:14.2,209.042,1,Kovalainen,Finished,2008,Brazilian Grand Prix,McLaren,British
26,371,1,4,3,6.0,20.0,01:26.4,221.083,1,Hamilton,Finished,2007,Australian Grand Prix,McLaren,British
27,370,4,2,2,8.0,20.0,01:26.3,221.178,1,Alonso,Finished,2007,Australian Grand Prix,McLaren,British
28,392,1,4,2,8.0,22.0,01:36.7,206.355,1,Hamilton,Finished,2007,Malaysian Grand Prix,McLaren,British
29,391,4,2,1,10.0,42.0,01:36.9,206.014,1,Alonso,Finished,2007,Malaysian Grand Prix,McLaren,British
30,414,1,2,2,8.0,18.0,01:34.3,206.674,1,Hamilton,Finished,2007,Bahrain Grand Prix,McLaren,British
31,417,4,4,5,4.0,46.0,01:34.4,206.346,1,Alonso,Finished,2007,Bahrain Grand Prix,McLaren,British
32,436,1,4,2,8.0,20.0,01:22.9,202.205,1,Hamilton,Finished,2007,Spanish Grand Prix,McLaren,British
33,437,4,2,3,6.0,17.0,01:23.0,201.986,1,Alonso,Finished,2007,Spanish Grand Prix,McLaren,British
34,458,1,2,2,8.0,28.0,01:15.4,159.528,1,Hamilton,Finished,2007,Monaco Grand Prix,McLaren,British
35,457,4,1,1,10.0,44.0,01:15.3,159.715,1,Alonso,Finished,2007,Monaco Grand Prix,McLaren,British
36,479,1,1,1,10.0,37.0,01:16.5,205.239,1,Hamilton,Finished,2007,Canadian Grand Prix,McLaren,British
37,485,4,2,7,2.0,46.0,01:16.4,205.58,1,Alonso,Finished,2007,Canadian Grand Prix,McLaren,British
38,501,1,1,1,10.0,20.0,01:13.2,206.101,1,Hamilton,Finished,2007,United States Grand Prix,McLaren,British
39,502,4,2,2,8.0,21.0,01:13.3,206.003,1,Alonso,Finished,2007,United States Grand Prix,McLaren,British
40,525,1,2,3,6.0,39.0,01:16.6,207.34,1,Hamilton,Finished,2007,French Grand Prix,McLaren,British
41,529,4,10,7,2.0,36.0,01:16.5,207.59,1,Alonso,Finished,2007,French Grand Prix,McLaren,British
42,547,1,1,3,6.0,11.0,01:21.7,226.6,1,Hamilton,Finished,2007,British Grand Prix,McLaren,British
43,546,4,3,2,8.0,35.0,01:21.1,228.159,1,Alonso,Finished,2007,British Grand Prix,McLaren,British
44,589,1,1,1,10.0,13.0,01:20.2,196.724,1,Hamilton,Finished,2007,Hungarian Grand Prix,McLaren,British
45,592,4,6,4,5.0,49.0,01:20.3,196.349,1,Alonso,Finished,2007,Hungarian Grand Prix,McLaren,British
46,615,1,2,5,4.0,17.0,01:28.0,218.464,1,Hamilton,Finished,2007,Turkish Grand Prix,McLaren,British
47,613,4,4,3,6.0,39.0,01:28.1,218.199,1,Alonso,Finished,2007,Turkish Grand Prix,McLaren,British
48,634,1,2,2,8.0,17.0,01:22.9,251.456,1,Hamilton,Finished,2007,Italian Grand Prix,McLaren,British
49,633,4,1,1,10.0,15.0,01:22.9,251.653,1,Alonso,Finished,2007,Italian Grand Prix,McLaren,British
50,658,1,4,4,5.0,41.0,01:48.2,233.002,1,Hamilton,Finished,2007,Belgian Grand Prix,McLaren,British
51,657,4,3,3,6.0,44.0,01:48.2,233.073,1,Alonso,Finished,2007,Belgian Grand Prix,McLaren,British
52,677,1,1,1,10.0,27.0,01:28.2,186.259,1,Hamilton,Finished,2007,Japanese Grand Prix,McLaren,British
53,7580,1,12,7,1.0,17.0,01:39.1,201.276,1,Hamilton,Finished,2009,Malaysian Grand Prix,McLaren,British
54,7599,1,9,6,3.0,39.0,01:54.7,171.138,1,Hamilton,Finished,2009,Chinese Grand Prix,McLaren,British
55,7598,5,12,5,4.0,41.0,01:54.5,171.361,1,Kovalainen,Finished,2009,Chinese Grand Prix,McLaren,British
56,7617,1,5,4,5.0,13.0,01:34.9,205.269,1,Hamilton,Finished,2009,Bahrain Grand Prix,McLaren,British
57,7625,5,11,12,0.0,54.0,01:35.5,203.969,1,Kovalainen,Finished,2009,Bahrain Grand Prix,McLaren,British
58,7686,1,16,13,0.0,53.0,01:28.6,216.986,1,Hamilton,Finished,2009,Turkish Grand Prix,McLaren,British
59,7734,1,4,1,10.0,16.0,01:22.5,191.219,1,Hamilton,Finished,2009,Hungarian Grand Prix,McLaren,British
60,7738,5,6,5,4.0,63.0,01:23.0,190.115,1,Kovalainen,Finished,2009,Hungarian Grand Prix,McLaren,British
61,7755,1,1,2,8.0,57.0,01:39.1,196.943,1,Hamilton,Finished,2009,European Grand Prix,McLaren,British
62,7757,5,2,4,5.0,56.0,01:39.3,196.378,1,Kovalainen,Finished,2009,European Grand Prix,McLaren,British
63,7814,1,1,1,10.0,36.0,01:48.3,168.561,1,Hamilton,Finished,2009,Singapore Grand Prix,McLaren,British
64,7820,5,8,7,2.0,36.0,01:49.3,167.114,1,Kovalainen,Finished,2009,Singapore Grand Prix,McLaren,British
65,7836,1,3,3,6.0,13.0,01:33.3,224.162,1,Hamilton,Finished,2009,Japanese Grand Prix,McLaren,British
66,7844,5,11,11,0.0,35.0,01:33.8,222.867,1,Kovalainen,Finished,2009,Japanese Grand Prix,McLaren,British
67,7856,1,17,3,6.0,59.0,01:14.3,208.654,1,Hamilton,Finished,2009,Brazilian Grand Prix,McLaren,British
68,7862,5,16,9,0.0,68.0,01:14.3,208.772,1,Kovalainen,Finished,2009,Brazilian Grand Prix,McLaren,British
69,20325,1,4,3,15.0,42.0,01:59.6,189.665,1,Hamilton,Finished,2010,Bahrain Grand Prix,McLaren,British
70,20329,18,8,7,6.0,45.0,02:00.0,189.017,1,Button,Finished,2010,Bahrain Grand Prix,McLaren,British
71,20352,1,11,6,8.0,47.0,01:28.5,215.7,1,Hamilton,Finished,2010,Australian Grand Prix,McLaren,British
72,20347,18,4,1,25.0,52.0,01:29.3,213.804,1,Button,Finished,2010,Australian Grand Prix,McLaren,British
73,20376,1,20,6,8.0,32.0,01:37.7,204.151,1,Hamilton,Finished,2010,Malaysian Grand Prix,McLaren,British
74,20378,18,17,8,4.0,49.0,01:38.5,202.584,1,Button,Finished,2010,Malaysian Grand Prix,McLaren,British
75,20396,1,6,2,18.0,13.0,01:42.1,192.273,1,Hamilton,Finished,2010,Chinese Grand Prix,McLaren,British
76,20395,18,5,1,25.0,14.0,01:42.9,190.731,1,Button,Finished,2010,Chinese Grand Prix,McLaren,British
77,20447,1,5,5,10.0,68.0,01:16.2,157.755,1,Hamilton,Finished,2010,Monaco Grand Prix,McLaren,British
78,20467,1,2,1,25.0,54.0,01:30.1,213.342,1,Hamilton,Finished,2010,Turkish Grand Prix,McLaren,British
79,20468,18,4,2,18.0,42.0,01:29.9,213.769,1,Button,Finished,2010,Turkish Grand Prix,McLaren,British
80,20491,1,1,1,25.0,62.0,01:17.8,201.778,1,Hamilton,Finished,2010,Canadian Grand Prix,McLaren,British
81,20492,18,4,2,18.0,66.0,01:18.1,200.906,1,Button,Finished,2010,Canadian Grand Prix,McLaren,British
82,20516,1,3,2,18.0,56.0,01:39.2,196.744,1,Hamilton,Finished,2010,European Grand Prix,McLaren,British
83,20517,18,7,3,15.0,54.0,01:38.8,197.521,1,Button,Finished,2010,European Grand Prix,McLaren,British
84,20540,1,4,2,18.0,43.0,01:32.8,228.633,1,Hamilton,Finished,2010,British Grand Prix,McLaren,British
85,20542,18,14,4,12.0,52.0,01:33.0,228.031,1,Button,Finished,2010,British Grand Prix,McLaren,British
86,20566,1,6,4,12.0,65.0,01:16.5,215.238,1,Hamilton,Finished,2010,German Grand Prix,McLaren,British
87,20567,18,5,5,10.0,65.0,01:16.5,215.385,1,Button,Finished,2010,German Grand Prix,McLaren,British
88,20611,1,2,1,25.0,32.0,01:49.1,231.178,1,Hamilton,Finished,2010,Belgian Grand Prix,McLaren,British
89,20687,1,8,5,10.0,35.0,01:35.2,219.633,1,Hamilton,Finished,2010,Japanese Grand Prix,McLaren,British
90,20686,18,5,4,12.0,53.0,01:33.5,223.515,1,Button,Finished,2010,Japanese Grand Prix,McLaren,British
91,20708,1,4,2,18.0,42.0,01:50.4,183.048,1,Hamilton,Finished,2010,Korean Grand Prix,McLaren,British
92,20718,18,7,12,0.0,42.0,01:52.2,180.171,1,Button,Finished,2010,Korean Grand Prix,McLaren,British
93,20734,1,4,4,12.0,66.0,01:13.9,210.049,1,Hamilton,Finished,2010,Brazilian Grand Prix,McLaren,British
94,20735,18,11,5,10.0,71.0,01:13.9,209.819,1,Button,Finished,2010,Brazilian Grand Prix,McLaren,British
95,20756,1,2,2,18.0,47.0,01:41.3,197.428,1,Hamilton,Finished,2010,Abu Dhabi Grand Prix,McLaren,British
96,20757,18,4,3,15.0,48.0,01:41.6,196.725,1,Button,Finished,2010,Abu Dhabi Grand Prix,McLaren,British
97,20780,1,2,2,18.0,41.0,01:30.3,211.382,1,Hamilton,Finished,2011,Australian Grand Prix,McLaren,British
98,20784,18,4,6,8.0,49.0,01:29.9,212.396,1,Button,Finished,2011,Australian Grand Prix,McLaren,British
99,20808,1,2,8,4.0,54.0,01:41.5,196.575,1,Hamilton,Finished,2011,Malaysian Grand Prix,McLaren,British
100,20802,18,4,2,18.0,50.0,01:41.3,197.057,1,Button,Finished,2011,Malaysian Grand Prix,McLaren,British
101,20852,1,4,4,12.0,48.0,01:30.1,213.264,1,Hamilton,Finished,2011,Turkish Grand Prix,McLaren,British
102,20854,18,6,6,8.0,47.0,01:31.2,210.786,1,Button,Finished,2011,Turkish Grand Prix,McLaren,British
103,20874,1,3,2,18.0,52.0,01:26.7,193.227,1,Hamilton,Finished,2011,Spanish Grand Prix,McLaren,British
104,20875,18,5,3,15.0,63.0,01:27.5,191.48,1,Button,Finished,2011,Spanish Grand Prix,McLaren,British
105,20902,1,9,6,8.0,54.0,01:17.8,154.456,1,Hamilton,Finished,2011,Monaco Grand Prix,McLaren,British
106,20899,18,2,3,15.0,78.0,01:16.5,157.252,1,Button,Finished,2011,Monaco Grand Prix,McLaren,British
107,20947,1,3,4,12.0,47.0,01:42.9,189.499,1,Hamilton,Finished,2011,European Grand Prix,McLaren,British
108,20949,18,6,6,8.0,57.0,01:42.3,190.623,1,Button,Finished,2011,European Grand Prix,McLaren,British
109,20971,1,10,4,12.0,39.0,01:36.2,220.499,1,Hamilton,Finished,2011,British Grand Prix,McLaren,British
110,20992,1,2,1,25.0,59.0,01:34.3,196.526,1,Hamilton,Finished,2011,German Grand Prix,McLaren,British
111,21019,1,2,4,12.0,61.0,01:23.7,188.517,1,Hamilton,Finished,2011,Hungarian Grand Prix,McLaren,British
112,21016,18,3,1,25.0,58.0,01:23.9,187.898,1,Button,Finished,2011,Hungarian Grand Prix,McLaren,British
113,21067,1,2,4,12.0,52.0,01:26.2,241.971,1,Hamilton,Finished,2011,Italian Grand Prix,McLaren,British
114,21065,18,3,2,18.0,52.0,01:26.2,241.915,1,Button,Finished,2011,Italian Grand Prix,McLaren,British
115,21092,1,4,5,10.0,54.0,01:50.8,164.779,1,Hamilton,Finished,2011,Singapore Grand Prix,McLaren,British
116,21089,18,3,2,18.0,54.0,01:48.5,168.392,1,Button,Finished,2011,Singapore Grand Prix,McLaren,British
117,21116,1,3,5,10.0,49.0,01:37.6,214.093,1,Hamilton,Finished,2011,Japanese Grand Prix,McLaren,British
118,21112,18,2,1,25.0,52.0,01:36.6,216.481,1,Button,Finished,2011,Japanese Grand Prix,McLaren,British
119,21137,1,1,2,18.0,54.0,01:40.5,201.216,1,Hamilton,Finished,2011,Korean Grand Prix,McLaren,British
120,21139,18,3,4,12.0,55.0,01:40.7,200.716,1,Button,Finished,2011,Korean Grand Prix,McLaren,British
121,21166,1,5,7,6.0,58.0,01:28.7,207.955,1,Hamilton,Finished,2011,Indian Grand Prix,McLaren,British
122,21161,18,4,2,18.0,60.0,01:28.0,209.737,1,Button,Finished,2011,Indian Grand Prix,McLaren,British
123,21184,1,2,1,25.0,51.0,01:43.5,193.255,1,Hamilton,Finished,2011,Abu Dhabi Grand Prix,McLaren,British
124,21186,18,3,3,15.0,51.0,01:43.2,193.83,1,Button,Finished,2011,Abu Dhabi Grand Prix,McLaren,British
125,21234,1,1,3,15.0,57.0,01:29.5,213.214,1,Hamilton,Finished,2012,Australian Grand Prix,McLaren,British
126,21232,18,2,1,25.0,56.0,01:29.2,214.053,1,Button,Finished,2012,Australian Grand Prix,McLaren,British
127,21258,1,1,3,15.0,50.0,01:41.5,196.523,1,Hamilton,Finished,2012,Malaysian Grand Prix,McLaren,British
128,21269,18,2,14,0.0,50.0,01:42.1,195.443,1,Button,Finished,2012,Malaysian Grand Prix,McLaren,British
129,21282,1,7,3,15.0,40.0,01:40.5,195.201,1,Hamilton,Finished,2012,Chinese Grand Prix,McLaren,British
130,21281,18,5,2,18.0,56.0,01:40.4,195.411,1,Button,Finished,2012,Chinese Grand Prix,McLaren,British
131,21311,1,2,8,4.0,38.0,01:37.7,199.351,1,Hamilton,Finished,2012,Bahrain Grand Prix,McLaren,British
132,21335,1,24,8,4.0,50.0,01:28.9,188.465,1,Hamilton,Finished,2012,Spanish Grand Prix,McLaren,British
133,21336,18,10,9,2.0,41.0,01:28.6,189.09,1,Button,Finished,2012,Spanish Grand Prix,McLaren,British
134,21356,1,3,5,10.0,46.0,01:18.8,152.577,1,Hamilton,Finished,2012,Monaco Grand Prix,McLaren,British
135,21376,1,2,1,25.0,59.0,01:17.0,203.837,1,Hamilton,Finished,2012,Canadian Grand Prix,McLaren,British
136,21431,1,8,8,4.0,44.0,01:36.2,220.515,1,Hamilton,Finished,2012,British Grand Prix,McLaren,British
137,21433,18,16,10,1.0,52.0,01:36.1,220.714,1,Button,Finished,2012,British Grand Prix,McLaren,British
138,21472,1,1,1,25.0,65.0,01:25.7,184.082,1,Hamilton,Finished,2012,Hungarian Grand Prix,McLaren,British
139,21477,18,4,6,8.0,58.0,01:25.8,183.751,1,Button,Finished,2012,Hungarian Grand Prix,McLaren,British
140,21520,1,1,1,25.0,52.0,01:28.4,235.841,1,Hamilton,Finished,2012,Italian Grand Prix,McLaren,British
141,21572,1,9,5,10.0,45.0,01:37.8,213.842,1,Hamilton,Finished,2012,Japanese Grand Prix,McLaren,British
142,21571,18,8,4,12.0,51.0,01:36.6,216.396,1,Button,Finished,2012,Japanese Grand Prix,McLaren,British
143,21601,1,3,10,1.0,49.0,01:42.7,196.785,1,Hamilton,Finished,2012,Korean Grand Prix,McLaren,British
144,21619,1,3,4,12.0,58.0,01:28.9,207.433,1,Hamilton,Finished,2012,Indian Grand Prix,McLaren,British
145,21620,18,4,5,10.0,60.0,01:28.2,209.176,1,Button,Finished,2012,Indian Grand Prix,McLaren,British
146,21664,1,2,1,25.0,55.0,01:39.7,199.047,1,Hamilton,Finished,2012,United States Grand Prix,McLaren,British
147,21668,18,12,5,10.0,54.0,01:40.2,198.17,1,Button,Finished,2012,United States Grand Prix,McLaren,British
148,21720,18,10,9,2.0,41.0,01:30.2,211.654,1,Button,Finished,2013,Australian Grand Prix,McLaren,British
149,21722,815,15,11,0.0,46.0,01:29.9,212.294,1,PÌ©rez,Finished,2013,Australian Grand Prix,McLaren,British
150,21742,815,9,9,2.0,56.0,01:39.2,201.159,1,PÌ©rez,Finished,2013,Malaysian Grand Prix,McLaren,British
151,21760,18,8,5,10.0,56.0,01:38.1,200.122,1,Button,Finished,2013,Chinese Grand Prix,McLaren,British
152,21766,815,12,11,0.0,55.0,01:41.3,193.754,1,PÌ©rez,Finished,2013,Chinese Grand Prix,McLaren,British
153,21787,18,10,10,1.0,49.0,01:37.7,199.33,1,Button,Finished,2013,Bahrain Grand Prix,McLaren,British
154,21783,815,12,6,8.0,41.0,01:37.9,198.984,1,PÌ©rez,Finished,2013,Bahrain Grand Prix,McLaren,British
155,21827,18,9,6,8.0,76.0,01:18.7,152.743,1,Button,Finished,2013,Monaco Grand Prix,McLaren,British
156,21878,18,10,13,0.0,39.0,01:36.4,220.096,1,Button,Finished,2013,British Grand Prix,McLaren,British
157,21893,18,9,6,8.0,49.0,01:34.2,196.736,1,Button,Finished,2013,German Grand Prix,McLaren,British
158,21895,815,13,8,4.0,50.0,01:36.1,192.78,1,PÌ©rez,Finished,2013,German Grand Prix,McLaren,British
159,21916,18,13,7,6.0,56.0,01:26.2,182.975,1,Button,Finished,2013,Hungarian Grand Prix,McLaren,British
160,21937,18,6,6,8.0,36.0,01:50.8,227.519,1,Button,Finished,2013,Belgian Grand Prix,McLaren,British
161,21942,815,13,11,0.0,34.0,01:53.5,222.208,1,PÌ©rez,Finished,2013,Belgian Grand Prix,McLaren,British
162,21963,18,9,10,1.0,46.0,01:27.8,237.445,1,Button,Finished,2013,Italian Grand Prix,McLaren,British
163,21965,815,8,12,0.0,44.0,01:27.6,238.049,1,PÌ©rez,Finished,2013,Italian Grand Prix,McLaren,British
164,21982,18,8,7,6.0,46.0,01:51.7,163.182,1,Button,Finished,2013,Singapore Grand Prix,McLaren,British
165,21983,815,14,8,4.0,46.0,01:51.9,162.911,1,PÌ©rez,Finished,2013,Singapore Grand Prix,McLaren,British
166,22005,18,11,8,4.0,45.0,01:43.1,196.113,1,Button,Finished,2013,Korean Grand Prix,McLaren,British
